Code	Q2_33	Q25	Q100	Number_Y
5387440	175.1110912	540.85088	767.951616	14
5387500	193.7152288	556.42512	805.046624	54
5388250	217.897776	675.638848	1044.606752	41
5388500	65.6100256	128.983024	157.86616	21
5389000	209.7991712	599.466656	800.799104	29
5389400	22.25134144	90.7270272	141.6123168	25
5411400	19.13649344	41.2858944	52.5559808	10
5411600	95.144448	285.433344	400.68272	38
5411850	250.2072448	1286.432224	2359.355776	16
5412020	256.0688224	1164.669984	2005.678944	15
5412060	10.53951296	61.5607232	119.496896	11
5412100	43.18312	257.1448608	510.551904	14
5412400	160.6412064	634.862656	1034.412704	17
5412500	462.130176	1060.180992	1432.83008	97
5414500	212.6874848	594.935968	881.785152	55
5416900	184.200784	1052.818624	1906.570144	16
5417000	149.2012192	395.01936	557.557792	49
5417700	54.4532064	143.4812256	195.2726528	19
5418400	274.389792	792.587232	1107.753216	18
5418450	201.1342304	334.13824	390.488672	15
5418500	462.97968	1059.614656	1366.2856	102
5420500	3913.38176	6487.37888	7696.50624	66
5420560	95.5692	240.4379488	319.413504	34
5420680	123.5178816	430.698528	681.302208	17
5421000	223.5045024	688.664576	998.450368	83
5421740	364.154048	1096.992832	1558.273504	14
5422000	348.29664	869.608928	1191.570944	82
5422470	32.5360032	135.8923232	219.6817344	30
5422560	39.7567872	64.845472	76.596944	23
5422600	101.0626592	225.5999456	291.66304	23
5448500	16.40109056	55.784096	85.2618848	10
5449000	30.0441248	111.7380928	178.9055424	46
5449500	70.3106144	195.810672	276.230384	75
5451080	10.09777088	22.4693808	29.6760064	11
5451210	74.0767488	201.7288832	288.83136	21
5451500	270.6802912	692.628928	933.03856	100
5451700	88.9430688	250.6319968	344.898624	67
5451900	54.2549888	155.4875488	227.5538048	67
5452000	130.540448	560.106304	987.123648	71
5452200	93.44544	215.0377792	275.6923648	67
5452500	341.500608	926.525696	1288.697568	22
5453000	131.1634176	255.7856544	318.564	71
5453100	397.284704	950.02864	1272.84016	60
5454000	51.4233088	154.9212128	213.1122368	79
5454090	33.1023392	92.5393024	130.5121312	10
5454220	50.3189536	163.8693216	245.4217056	22
5454300	59.890032	189.01464	283.734336	64
5454500	344.898624	803.064448	1050.836448	56
5455000	12.66610464	41.05936	59.9183488	59
5455010	16.15756608	27.0567024	32.3661024	17
5455100	88.8298016	318.847168	508.852896	64
5455500	206.7692736	610.510208	891.9792	77
5457700	317.714496	798.250592	1073.773056	60
5458000	103.3280032	406.062912	638.827008	62
5458300	453.0688	1468.509248	2136.50256	16
5458500	350.278816	1011.192928	1406.495456	95
5458900	200.5678944	607.961696	852.618848	71
5459000	38.0011456	78.9755552	96.843456	41
5459500	106.2729504	278.6089952	384.258976	84
5460500	293.362048	725.476416	1006.66224	21
5462000	298.74224	969.567232	1426.883552	63
5463000	132.239456	481.951936	734.82096	71
5463500	108.3967104	473.740064	769.084288	59
5464000	811.27632	2276.953888	3103.52128	76
5464130	14.18954848	35.6508512	46.0148	14
5464133	4.57882656	12.87848064	19.01756288	14
5464137	16.11509088	38.1427296	51.0551904	17
5464220	125.6699584	461.56384	701.407136	18
5464500	812.125824	2083.266976	2851.50176	114
5464640	98.9105824	232.339344	304.688768	16
5464942	6.15607232	25.12266496	39.4736192	15
5465000	942.099936	2249.203424	2970.43232	77
5465500	1115.68192	2106.203584	2549.644672	44
5470000	103.2996864	269.4909856	359.62336	90
5470500	93.0490048	351.411488	588.139936	60
5471000	196.7168096	588.423104	898.775232	52
5471040	44.0043072	192.1578048	333.005568	10
5471050	182.6999936	423.619328	575.963712	31
5471200	131.2200512	367.268896	521.878624	49
5471500	268.2167296	517.914272	641.37552	71
5472500	194.3381984	525.559808	718.114048	71
5473400	210.676992	383.409472	468.926208	38
5473450	46.4678688	174.4881216	281.4406752	19
5473500	65.8648768	209.6575872	304.122432	24
5474000	669.69232	1313.333184	1628.216	102
5474500	5088.52896	7945.69408	9194.46496	60
5476500	76.5119936	303.556096	494.411328	43
