Code	Q_6_35_10days	Q_6_35_5days	Q_6_35_2days	Q_6_35_1days	Q_6_35_12hr	Q_6_35_6hr	Q_6_35_3hr	Q_6_35_1hr	Q_6_35_30min	Q_6_35_15min	Q_6_35_5min
5387440	1655.9184	1559.031374	1117.263353	658.2380164	315.9807124	139.2039935	59.71484264	15.01356713	6.1381409	2.46847025	0.56592153
5387500	2305.377435	2167.078751	1513.214419	826.652756	379.6945898	162.7918999	68.02429816	16.40002455	6.53889446	2.57094722	0.57286176
5388000	2567.305842	2413.895149	1667.995581	886.0379307	401.6962406	170.7067799	70.7192294	16.82228531	6.65639061	2.60042907	0.57533982
5388250	3469.12277	3252.193698	2183.623514	1058.903952	459.3014903	189.6022786	76.37997557	17.40385863	7.02532112	2.87520196	0.67442391
5388500	190.0923671	181.2589927	140.0367431	92.70268516	50.49500021	24.0210617	10.98136822	3.06882665	1.34433249	0.57909915	0.14688378
5389000	990.2512155	942.1197684	716.4826645	460.7195814	238.3835731	109.5960529	48.82226372	13.04770544	5.53966009	2.30775832	0.55396465
5389400	155.6798341	149.3675616	117.0667224	78.66812099	43.87111165	21.18286221	9.75976535	2.75922741	1.21881585	0.52953232	0.13627127
5411400	130.7210411	124.8531715	97.46766816	66.21981609	38.34622834	19.41965899	9.22886024	2.73854164	1.25194544	0.56466333	0.15490575
5411600	796.3693158	751.1873426	558.1612331	351.0750579	183.5003775	84.89244899	37.85986024	10.11762284	4.29426459	1.78862823	0.43012666
5411850	2896.527327	2723.407064	1970.210011	1147.364615	533.8448333	232.9030021	99.19593876	24.5956695	9.94162654	3.94431319	0.91196662
5412020	4080.961104	3809.419381	2612.020388	1423.077366	637.043373	271.2049045	112.8725136	27.06608721	10.7699836	4.23596264	0.9435095
5412060	18.7398618	17.8753335	13.76966856	9.27975667	5.3892248	2.77827485	1.34457785	0.41175254	0.19277897	0.08941347	0.02583701
5412100	319.9416576	303.9048638	230.2287855	149.8992153	79.52724399	37.29685152	16.9431618	4.69298095	2.04407032	0.875364	0.21989743
5412400	1582.466932	1489.036761	1073.672298	623.8001069	298.1912207	131.19175	56.07579375	13.97069133	5.66781768	2.25932273	0.51064449
5412500	7010.874837	6553.496999	4403.114363	2210.406357	956.0870733	400.2634887	164.2581822	38.56022063	15.12821521	5.8558118	1.2746742
5414500	588.9070234	562.6648961	434.0167685	287.6615086	158.3610343	75.74060969	34.68516188	9.70696085	4.25638946	1.83449778	0.46576238
5416900	1245.7748	1178.303042	886.4252296	569.1454264	296.8249828	137.7075709	61.96995534	16.87255396	7.25891763	3.06584198	0.75275003
5418400	2275.189146	2149.748308	1555.466521	898.5840647	415.9407501	180.494863	76.34203185	18.72164238	7.52356204	2.9721171	0.66264225
5418450	2325.82926	2195.983149	1583.076764	910.5216829	419.9970669	181.8476587	76.75558519	18.76362912	7.52763027	2.9693789	0.66099128
5420560	436.1149325	413.7958009	310.7591491	197.2492767	101.786977	46.80188628	20.81459303	5.54167126	2.34649166	0.9745207	0.23281339
5420680	1563.631373	1469.389544	1058.779532	599.001519	268.0754589	118.3690882	51.81818246	13.46391261	5.61297939	2.29573283	0.53628014
5421000	4741.640324	4431.909321	3047.275275	1567.121336	700.0903286	298.7027147	124.4263377	29.76989081	11.78099632	4.58630576	1.00549927
5421740	7118.579778	6575.503531	4199.303485	2035.083788	871.8558354	361.1436265	146.4593102	33.77226747	13.24411684	5.22259786	1.16729517
5422470	82.85279088	79.67502605	62.28080026	41.51441504	22.97890651	11.07537683	5.09762853	1.43750858	0.63328239	0.27412861	0.06999872
5422560	70.96846304	67.98434303	53.15825798	36.1539718	21.01111567	10.71838697	5.12992983	1.54184558	0.7119783	0.32491151	0.0911919
5422600	260.6897149	248.9301012	193.3000622	129.772085	73.41254227	36.12348775	16.86142565	4.86858812	2.18145695	0.96240641	0.25379447
5448500	506.0916852	479.2694231	367.4293326	243.823986	133.4759177	63.21987231	28.77898186	7.99380293	3.49176153	1.50124214	0.38020737
